RBD,Administration,HS_ENROLLED_EST
2787,Private subsidized,238
2789,Fully private,163
2793,Delegated,1167
2794,Municipal,373
2835,Municipal,486
2836,Municipal,259
2863,Private subsidized,175
2865,Delegated,347
2882,Municipal,481
2896,Municipal,246
2930,Municipal,224
2934,Municipal,1058
2935,Municipal,1291
2937,Municipal,626
2938,Municipal,1147
2939,Municipal,226
2973,Municipal,1770
2991,Private subsidized,284
2992,Private subsidized,422
2995,Private subsidized,538
2997,Private subsidized,168
3003,Private subsidized,220
3005,Private subsidized,344
3006,Private subsidized,1210
3012,Fully private,280
3013,Private subsidized,426
3014,Fully private,350
3015,Fully private,251
3016,Municipal,197
3033,Municipal,212
3055,Municipal,546
3108,Private subsidized,177
3126,Private subsidized,250
3127,Delegated,415
3128,Municipal,151
3163,Delegated,642
3165,Municipal,645
3172,Municipal,192
3173,Municipal,168
3202,Private subsidized,409
3204,Fully private,102
3205,Municipal,284
3247,Municipal,1231
3248,Municipal,1259
3252,Municipal,990
3290,Private subsidized,594
3296,Private subsidized,849
3298,Private subsidized,344
3300,Private subsidized,357
3302,Private subsidized,228
3303,Private subsidized,281
3304,Private subsidized,226
3305,Municipal,546
3308,Private subsidized,151
3311,Private subsidized,174
3313,Municipal,161
3327,Delegated,231
3328,Municipal,536
3348,Municipal,486
3387,Municipal,615
3430,Private subsidized,156
3431,Private subsidized,341
3432,Private subsidized,414
3433,Private subsidized,185
3434,Municipal,766
3460,Private subsidized,232
3461,Municipal,197
3479,Municipal,1324
3530,Private subsidized,311
3531,Private subsidized,312
3533,Private subsidized,350
3538,Municipal,431
3539,Municipal,749
3540,Municipal,591
3608,Private subsidized,280
3609,Municipal,396
3618,Municipal,262
3638,Municipal,802
3639,Municipal,258
3640,Delegated,813
3641,Delegated,558
3642,Delegated,420
3656,Municipal,162
3662,Municipal,149
3711,Private subsidized,285
3713,Private subsidized,669
3718,Private subsidized,462
3719,Private subsidized,204
3720,Fully private,127
3723,Private subsidized,225
3724,Private subsidized,344
3728,Private subsidized,170
3730,Private subsidized,153
3735,Private subsidized,410
3739,Delegated,309
3742,SLEP,676
3743,SLEP,234
3795,Private subsidized,271
3796,Private subsidized,462
3797,Private subsidized,475
3802,SLEP,241
3823,SLEP,218
3865,Private subsidized,654
