spec,outcome_group,adjustment,group,beta,se,zstat,p_value,n_obs,fs_beta,fs_se,fs_f
leng_unadj,Language,Unadjusted,Q4,0.405374699176444,0.101490790231921,3.9942018211712,6.49125548119064e-05,7583,0.423575070610391,0.022224961451837,363.227524653938
leng_unadj,Language,Unadjusted,Q5,0.0713231953212581,0.117146168910366,0.60883933281532,0.542630939657434,5430,0.423125241742767,0.0296045261183763,204.278020560314
leng_adj,Language,Adjusted,All,0.835290543628061,0.0821522944507255,10.1675863006975,2.76679840419298e-24,92472,0.419561872470317,0.00700269870649349,3589.7247367016
leng_adj,Language,Adjusted,Q1,0.944182059942922,0.279579207859713,3.37715407083023,0.000732400134118271,5778,0.425065991384835,0.0261927079176278,263.361276614281
leng_adj,Language,Adjusted,Q2,0.547382164994532,0.27302647055762,2.00486847988247,0.0449771092008094,7588,0.423488729041656,0.0247812722918379,292.036081977693
leng_adj,Language,Adjusted,Q3,0.579801276515234,0.244361839594434,2.37271612244173,0.0176578293432915,7948,0.456065126716272,0.0232950738829136,383.288284985911
leng_adj,Language,Adjusted,Q4,1.45091049489987,0.27342414805945,5.30644606629406,1.11783215178178e-07,7582,0.417321379815427,0.0234324877283354,317.179034503067
leng_adj,Language,Adjusted,Q5,0.308825130692916,0.32054648831754,0.963433205317125,0.335330169276338,5429,0.400504827445057,0.0364630868028118,120.644811089734
stem_unadj,STEM,Unadjusted,All,0.348926115763793,0.0457596222203596,7.6251965998213,2.43662747264177e-14,135916,0.470953525411987,0.005943527979256,6278.66745367032
stem_unadj,STEM,Unadjusted,Q1,0.135504156220634,0.147344548197493,0.919641465383647,0.357760150496261,10595,0.490841185746759,0.0207183784154123,561.2682440679
stem_unadj,STEM,Unadjusted,Q2,0.506716399897037,0.147438607826806,3.43679587976217,0.000588639033285962,11551,0.486422320843029,0.0196457438658255,613.041726891191
stem_unadj,STEM,Unadjusted,Q3,0.302292314336489,0.160729017427146,1.88075755812736,0.0600049059942646,10716,0.485534340137707,0.0213246851750578,518.411523244418
stem_unadj,STEM,Unadjusted,Q4,0.076957238880571,0.193030828904444,0.398678487355339,0.690130121093542,9298,0.467366882244205,0.0229567789590561,414.470824090821
stem_unadj,STEM,Unadjusted,Q5,0.760174540940546,0.239061955195098,3.17982231978388,0.00147365380243851,6181,0.491550947479087,0.028339008829574,300.862293654179
stem_adj,STEM,Adjusted,All,0.674392630839717,0.0654371966260379,10.3059523575521,6.62323702872311e-25,135898,0.452606273109971,0.00637586413645561,5039.2166438811
stem_adj,STEM,Adjusted,Q1,0.324434782069474,0.231050319071956,1.404173702822,0.160267130597344,10595,0.442888717482621,0.0217109482999563,416.132511294076
stem_adj,STEM,Adjusted,Q2,0.832324597357684,0.204867918250439,4.06273761390114,4.85005366047567e-05,11550,0.482718530382426,0.0201334311212472,574.847113200686
stem_adj,STEM,Adjusted,Q3,0.690584823353298,0.219179332676777,3.15077528031213,0.00162837724518877,10716,0.486586111180977,0.0214506660471428,514.562169437736
stem_adj,STEM,Adjusted,Q4,0.32558557115372,0.266754337377241,1.22054461927373,0.222258485765401,9298,0.454848628519597,0.0236219013598049,370.769563594804
stem_adj,STEM,Adjusted,Q5,1.49101880325888,0.32511417970536,4.58613895158353,4.51518160577542e-06,6181,0.496748408288205,0.0288170298753275,297.149179135962
