mifuturo_row_id,model_name,mifuturo_codigo,COD_INST,TIPO_INST_1,NOMB_INST,AREA_CARRERA_GENERICA,NOMB_CARRERA_TITULO,income_4th_year_raw,employment_1st_year,employment_2nd_year,institution_key,carrera_generica_key
1568,institution_plus_carrera_generica,3,3,Universidades,UNIVERSIDAD DIEGO PORTALES,Técnico en Contabilidad Tributaria,Técnico de Nivel Superior en Contabilidad y Derecho Tributario,,0.77,0.872,3 || UNIVERSIDADES || UNIVERSIDAD DIEGO PORTALES,TECNICO EN CONTABILIDAD TRIBUTARIA
190,institution_plus_carrera_generica,106,106,Insitutos Profesionales,IP PROVIDENCIA,Administración de Empresas e Ing. Asociadas,Ingeniería en Administración y en Administración de Empresas,,0.796,,106 || INSITUTOS PROFESIONALES || IP PROVIDENCIA,ADMINISTRACION DE EMPRESAS E ING ASOCIADAS
498,institution_plus_carrera_generica,106,106,Insitutos Profesionales,IP PROVIDENCIA,Trabajo Social,Servicio Social,,0.778,0.684,106 || INSITUTOS PROFESIONALES || IP PROVIDENCIA,TRABAJO SOCIAL
334,institution_plus_carrera_generica,106,106,Insitutos Profesionales,IP PROVIDENCIA,Técnico Asistente del Educador Diferencial,Técnico en Educación Diferencial,,0.415,,106 || INSITUTOS PROFESIONALES || IP PROVIDENCIA,TECNICO ASISTENTE DEL EDUCADOR DIFERENCIAL
325,institution_plus_carrera_generica,106,106,Insitutos Profesionales,IP PROVIDENCIA,Técnico Asistente del Educador de Párvulos,Técnico en Educación Parvularia y Primer Ciclo Básico,,0.355,0.49,106 || INSITUTOS PROFESIONALES || IP PROVIDENCIA,TECNICO ASISTENTE DEL EDUCADOR DE PARVULOS
349,institution_plus_carrera_generica,106,106,Insitutos Profesionales,IP PROVIDENCIA,Técnico en Administración de Empresas,Técnico en Administración de Empresas,,0.644,0.75,106 || INSITUTOS PROFESIONALES || IP PROVIDENCIA,TECNICO EN ADMINISTRACION DE EMPRESAS
470,institution_plus_carrera_generica,106,106,Insitutos Profesionales,IP PROVIDENCIA,Técnico en Servicio Social,Técnico de Nivel Superior en Servicio Social,,0.522,,106 || INSITUTOS PROFESIONALES || IP PROVIDENCIA,TECNICO EN SERVICIO SOCIAL
479,institution_plus_carrera_generica,108,108,Insitutos Profesionales,IP CHILENO BRITANICO DE CULTURA,Técnico en Traducción e Interpretariado,Técnico en Traducción Inglés-Español,,0.319,0.458,108 || INSITUTOS PROFESIONALES || IP CHILENO BRITANICO DE CULTURA,TECNICO EN TRADUCCION E INTERPRETARIADO
178,institution_plus_carrera_generica,111,111,Insitutos Profesionales,IP DUOC UC,Actuación y Teatro,Actuación,,0.194,0.276,111 || INSITUTOS PROFESIONALES || IP DUOC UC,ACTUACION Y TEATRO
361,institution_plus_carrera_generica,111,111,Insitutos Profesionales,IP DUOC UC,Técnico en Administración en Marketing,Técnico en Marketing,,0.412,0.56,111 || INSITUTOS PROFESIONALES || IP DUOC UC,TECNICO EN ADMINISTRACION EN MARKETING
409,institution_plus_carrera_generica,111,111,Insitutos Profesionales,IP DUOC UC,Técnico en Energía,Técnico en Energías Renovables y Eficiencia Energética,,0.688,0.712,111 || INSITUTOS PROFESIONALES || IP DUOC UC,TECNICO EN ENERGIA
410,institution_plus_carrera_generica,116,116,Insitutos Profesionales,IP SANTO TOMAS,Técnico en Energía,Técnico en Energía Solar,,0.685,,116 || INSITUTOS PROFESIONALES || IP SANTO TOMAS,TECNICO EN ENERGIA
365,institution_plus_carrera_generica,117,117,Insitutos Profesionales,IP IACC,Técnico en Administración Pública o Municipal,Técnico de Nivel Superior en Administración Pública,,0.787,,117 || INSITUTOS PROFESIONALES || IP IACC,TECNICO EN ADMINISTRACION PUBLICA O MUNICIPAL
296,institution_plus_carrera_generica,129,129,Insitutos Profesionales,IP ESCUELA MODERNA DE MUSICA,"Música, Canto o Danza","Intérprete Instrumental, Intérprete en Danza, Producción Musical y Gestión Artística, Especialista en Arreglos y Composición",,0.264,0.328,129 || INSITUTOS PROFESIONALES || IP ESCUELA MODERNA DE MUSICA,MUSICA CANTO O DANZA
177,institution_plus_carrera_generica,143,143,Insitutos Profesionales,IP AIEP,Actuación y Teatro,Teatro,,0.245,,143 || INSITUTOS PROFESIONALES || IP AIEP,ACTUACION Y TEATRO
364,institution_plus_carrera_generica,143,143,Insitutos Profesionales,IP AIEP,Técnico en Administración Pública o Municipal,Técnico en Administración Pública,,0.605,0.659,143 || INSITUTOS PROFESIONALES || IP AIEP,TECNICO EN ADMINISTRACION PUBLICA O MUNICIPAL
360,institution_plus_carrera_generica,143,143,Insitutos Profesionales,IP AIEP,Técnico en Administración en Marketing,Técnico en Marketing Digital,,0.481,0.635,143 || INSITUTOS PROFESIONALES || IP AIEP,TECNICO EN ADMINISTRACION EN MARKETING
368,institution_plus_carrera_generica,143,143,Insitutos Profesionales,IP AIEP,Técnico en Ambientes e Interiores,Técnico en Diseño de Espacios y Equipamiento,,0.361,0.561,143 || INSITUTOS PROFESIONALES || IP AIEP,TECNICO EN AMBIENTES E INTERIORES
199,institution_plus_carrera_generica,144,144,Insitutos Profesionales,IP ARCOS,Animación Digital,Animación 3D,,0.224,0.439,144 || INSITUTOS PROFESIONALES || IP ARCOS,ANIMACION DIGITAL
202,institution_plus_carrera_generica,144,144,Insitutos Profesionales,IP ARCOS,Comunicación Audiovisual y/o Multimedia,Comunicación Audiovisual,,0.326,,144 || INSITUTOS PROFESIONALES || IP ARCOS,COMUNICACION AUDIOVISUAL Y O MULTIMEDIA
222,institution_plus_carrera_generica,144,144,Insitutos Profesionales,IP ARCOS,Diseño Gráfico,Diseño Gráfico Multimedia y de Video Juegos,,0.288,0.511,144 || INSITUTOS PROFESIONALES || IP ARCOS,DISENO GRAFICO
295,institution_plus_carrera_generica,144,144,Insitutos Profesionales,IP ARCOS,"Música, Canto o Danza",Producción y Composición Musical,,0.167,0.395,144 || INSITUTOS PROFESIONALES || IP ARCOS,MUSICA CANTO O DANZA
309,institution_plus_carrera_generica,144,144,Insitutos Profesionales,IP ARCOS,Realizador de Cine y Televisión,Cine,,0.116,0.392,144 || INSITUTOS PROFESIONALES || IP ARCOS,REALIZADOR DE CINE Y TELEVISION
366,institution_plus_carrera_generica,152,152,Insitutos Profesionales,IP LATINOAMERICANO DE COMERCIO EXTERIOR - IPLACEX,Técnico en Administración Pública o Municipal,Técnico en Administración Pública,,0.75,,152 || INSITUTOS PROFESIONALES || IP LATINOAMERICANO DE COMERCIO EXTERIOR IPLACEX,TECNICO EN ADMINISTRACION PUBLICA O MUNICIPAL
214,institution_plus_carrera_generica,171,171,Insitutos Profesionales,IP ESCUELA DE COMERCIO DE SANTIAGO,Contador Auditor,Contador Auditor,,0.89,0.89,171 || INSITUTOS PROFESIONALES || IP ESCUELA DE COMERCIO DE SANTIAGO,CONTADOR AUDITOR
236,institution_plus_carrera_generica,171,171,Insitutos Profesionales,IP ESCUELA DE COMERCIO DE SANTIAGO,Ingeniería en Comercio Exterior,Ingeniería en Comercio Internacional,,0.851,0.85,171 || INSITUTOS PROFESIONALES || IP ESCUELA DE COMERCIO DE SANTIAGO,INGENIERIA EN COMERCIO EXTERIOR
256,institution_plus_carrera_generica,171,171,Insitutos Profesionales,IP ESCUELA DE COMERCIO DE SANTIAGO,Ingeniería en Finanzas,Ingeniería en Finanzas,,0.879,0.875,171 || INSITUTOS PROFESIONALES || IP ESCUELA DE COMERCIO DE SANTIAGO,INGENIERIA EN FINANZAS
262,institution_plus_carrera_generica,171,171,Insitutos Profesionales,IP ESCUELA DE COMERCIO DE SANTIAGO,Ingeniería en Logística,Ingeniería en Logística,,0.789,0.921,171 || INSITUTOS PROFESIONALES || IP ESCUELA DE COMERCIO DE SANTIAGO,INGENIERIA EN LOGISTICA
13,institution_plus_carrera_generica,214,214,Centros de Formación Técnica,CFT INSTITUTO CENTRAL DE CAPACITACION EDUCACIONAL ICCE,Técnico Asistente del Educador de Párvulos,Técnico en Educación de Pärvulos,,0.571,,214 || CENTROS DE FORMACION TECNICA || CFT INSTITUTO CENTRAL DE CAPACITACION EDUCACIONAL ICCE,TECNICO ASISTENTE DEL EDUCADOR DE PARVULOS
91,institution_plus_carrera_generica,214,214,Centros de Formación Técnica,CFT INSTITUTO CENTRAL DE CAPACITACION EDUCACIONAL ICCE,Técnico en Enfermería,Técnico en Enfermería,,0.763,,214 || CENTROS DE FORMACION TECNICA || CFT INSTITUTO CENTRAL DE CAPACITACION EDUCACIONAL ICCE,TECNICO EN ENFERMERIA
54,institution_plus_carrera_generica,218,218,Centros de Formación Técnica,CFT DE ENAC,Técnico en Bibliotecas y Centros de Documentación,Técnico en Bibliotecología y Documentación,,0.529,0.541,218 || CENTROS DE FORMACION TECNICA || CFT DE ENAC,TECNICO EN BIBLIOTECAS Y CENTROS DE DOCUMENTACION
149,institution_plus_carrera_generica,218,218,Centros de Formación Técnica,CFT DE ENAC,Técnico en Prevención y Rehabilitación,Técnico en Prevención y Rehabilitación de Adicciones,,0.507,0.484,218 || CENTROS DE FORMACION TECNICA || CFT DE ENAC,TECNICO EN PREVENCION Y REHABILITACION
162,institution_plus_carrera_generica,218,218,Centros de Formación Técnica,CFT DE ENAC,Técnico en Terapias Naturales y Naturopatía,Técnico en Terapias Complementarias de Salud,,0.211,0.367,218 || CENTROS DE FORMACION TECNICA || CFT DE ENAC,TECNICO EN TERAPIAS NATURALES Y NATUROPATIA
135,institution_plus_carrera_generica,260,260,Centros de Formación Técnica,CFT SANTO TOMAS,Técnico en Medio Ambiente (Control y Gestión),Técnico en Gestión de Medio Ambiente,,0.659,,260 || CENTROS DE FORMACION TECNICA || CFT SANTO TOMAS,TECNICO EN MEDIO AMBIENTE CONTROL Y GESTION
93,institution_plus_carrera_generica,319,319,Centros de Formación Técnica,CFT PRODATA,Técnico en Enfermería,Técnico en Enfermería,,0.723,0.736,319 || CENTROS DE FORMACION TECNICA || CFT PRODATA,TECNICO EN ENFERMERIA
49,institution_plus_carrera_generica,426,426,Centros de Formación Técnica,CFT ESCUELA DE COMERCIO,Técnico en Administración en Marketing,Técnico en Marketing y Gestión Comercial,,0.739,,426 || CENTROS DE FORMACION TECNICA || CFT ESCUELA DE COMERCIO,TECNICO EN ADMINISTRACION EN MARKETING
76,institution_plus_carrera_generica,430,430,Centros de Formación Técnica,CFT INACAP,Técnico en Diseño de Vestuario,Técnico en Diseño y Producción de Moda,,0.208,,430 || CENTROS DE FORMACION TECNICA || CFT INACAP,TECNICO EN DISENO DE VESTUARIO
165,institution_plus_carrera_generica,450,450,Centros de Formación Técnica,CFT LOTA-ARAUCO,Técnico en Transporte Marítimo y Puertos,Técnico en Gestión Portuaria y Pesquera,,0.474,0.5,450 || CENTROS DE FORMACION TECNICA || CFT LOTA ARAUCO,TECNICO EN TRANSPORTE MARITIMO Y PUERTOS
