school_rbd,area_income_va,program_income_full_va,institution_income_va,math_va,area_income_n,program_income_full_n,institution_income_n,math_n,complete_decomposition_input,decomposition_order,program_income_full_component_math_va,program_income_full_component_institution_income_va,program_income_full_component_area_income_va,program_income_full_component_residual_va,program_income_full_component_sum_va,reconstruction_error
199,0.0351510289395977,0.0638662284260017,0.0727122315356161,-0.179184799478814,264,264,264,254,TRUE,math_area_institution,-0.0215402893088134,0.0193415948563202,0.0554938896528523,0.0105709465829696,0.0638661417833288,0
200,0.036351534769883,0.0527429828176188,0.0214799368760613,-0.238123785673963,198,198,198,192,TRUE,math_area_institution,-0.028684878139767,-0.00133094062186695,0.0619746499796796,0.0207840649569002,0.0527428961749459,0
208,0.0442306236417081,0.0647586436259714,0.0967578905544064,-0.184834217923682,364,364,364,360,TRUE,math_area_institution,-0.0222251122847116,0.0262205346278014,0.0663371988892395,-0.0055740642490308,0.0647585569832985,0
211,-0.0008720067439602,0.0093606886366731,0.0322141703648459,-0.0213868459829014,145,145,145,144,TRUE,math_area_institution,-0.0024120082019519,0.013372474553487,0.000731363841380346,-0.00233122819891534,0.00936060199400014,0
217,-0.0262986844592066,-0.0122642781036006,0.0231652301733491,0.0035306234103685,814,814,814,798,TRUE,math_area_institution,0.000608489519765582,0.0175437570627592,-0.0304234238575107,6.81252871239518e-06,-0.0122643647462736,0
218,-0.0126913322554805,-0.0084052741316157,0.0161150879233653,-0.146912354914417,71,71,71,71,TRUE,math_area_institution,-0.0176282208823406,0.0113306189401631,-0.0018590791824298,-0.000248679649681441,-0.00840536077428866,0
219,0.0196485870523477,0.0482653324754306,0.0421418289313717,-0.173629870595053,193,193,193,184,TRUE,math_area_institution,-0.0208669203654072,0.0118459560116254,0.0373348968110858,0.0199513133754536,0.0482652458327577,0
220,0.0818432230462827,0.106381924218134,0.0574016471998255,-0.232279519031236,400,400,400,386,TRUE,math_area_institution,-0.0279764356490447,-0.0011409262778424,0.113341277860849,0.0221579216414991,0.106381837575461,0
222,-0.0042470791927731,-0.0051045616884551,0.0181864525805907,-0.0358176690680661,6,6,6,6,TRUE,math_area_institution,-0.00416131378203704,0.00886236667636858,-0.00186558128860508,-0.00794011993685451,-0.00510464833112806,0
253,0.0132353312247856,0.0239441333987202,0.0350150425653631,-0.173462745555533,189,189,189,186,TRUE,math_area_institution,-0.0208466614541532,0.0109820949237168,0.030007459977528,0.0038011533089556,0.0239440467560472,0
254,0.0096880110611191,0.0301019917490609,0.0603991665954938,-0.138206744094613,133,133,133,132,TRUE,math_area_institution,-0.0165729260114064,0.02211382111194,0.0229047120613846,0.00165629794446975,0.0301019051063879,0
