school_rbd,analysis_sample,outcome,n_students_regression,n_total,controlled_value_added,controlled_value_added_centered_student,controlled_value_added_se,controlled_value_added_resid_sd,controlled_value_added_se_method,eb_tau2,eb_tau,eb_reliability,eb_method,controlled_value_added_eb,controlled_value_added_eb_centered_student
270,All,z_year_math_max,40,561977,0.19146839,0.064498939,0.14558974,0.5251649,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.739921700749748,stata_normal_normal_weighted_by_n_students_regression,0.0477241642896481,0.0527522288809957
279,All,z_year_math_max,409,561977,-0.10057297,-0.22754242,0.039005686,0.55809212,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.975391142277211,stata_normal_normal_weighted_by_n_students_regression,-0.221942856344892,-0.216914791753545
280,All,z_year_math_max,398,561977,-0.011796227,-0.13876568,0.039636273,0.5804702,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.974609396065194,stata_normal_normal_weighted_by_n_students_regression,-0.135242333451605,-0.130214268860257
283,All,z_year_math_max,407,561977,-0.017988652,-0.14495811,0.039005671,0.54112238,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.975391160616918,stata_normal_normal_weighted_by_n_students_regression,-0.14139085785687,-0.136362793265523
284,All,z_year_math_max,50,561977,0.25831169,0.13134223,0.099882513,0.54443097,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.858046371274012,stata_normal_normal_weighted_by_n_students_regression,0.112697725719106,0.117725790310453
285,All,z_year_math_max,111,561977,0.04414301,-0.082826443,0.068983547,0.52172327,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.926858899913056,stata_normal_normal_weighted_by_n_students_regression,-0.0767684258778895,-0.0717403612865419
286,All,z_year_math_max,170,561977,-0.041297149,-0.16826661,0.054224297,0.51186585,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.95350893955536,stata_normal_normal_weighted_by_n_students_regression,-0.160443716219442,-0.155415651628094
287,All,z_year_math_max,594,561977,-0.052874621,-0.17984408,0.035425611,0.61029547,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.979613334396399,stata_normal_normal_weighted_by_n_students_regression,-0.17617766025904,-0.171149595667692
304,All,z_year_math_max,377,561977,0.0093304468,-0.11763901,0.062442414,0.7067796,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.939269558456027,stata_normal_normal_weighted_by_n_students_regression,-0.110494743471154,-0.105466678879806
320,All,z_year_math_max,98,561977,-0.12367924,-0.25064871,0.076239489,0.57132047,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.912087011931264,stata_normal_normal_weighted_by_n_students_regression,-0.228613430374059,-0.223585365782712
