cohort_gr8,income_measure_key,income_measure_label,income_measure_order,outcome,outcome_key,outcome_label,plot_order,rho,n_students,mean_log_income_4to,mean_attended_va_eb,sd_log_income_4to,sd_attended_va_eb,n_students_with_income_and_rbd,va_match_rate_among_income_rbd
2018,direct_or_school_median,Direct income + school median fallback,1,stem_enrollment_m1,stem_enrollment,STEM enrollment,5,-0.0628539052414351,181695,12.6586315480728,0.00583724856735754,0.769111892138787,0.0647147649413323,182027,0.998176094755174
2019,direct_or_school_median,Direct income + school median fallback,1,stem_enrollment_m1,stem_enrollment,STEM enrollment,5,-0.0678386250185459,182789,12.7323972460833,0.00592018068691035,0.76042046591896,0.0648296731445455,183080,0.998410530915447
2020,direct_or_school_median,Direct income + school median fallback,1,stem_enrollment_m1,stem_enrollment,STEM enrollment,5,-0.0682614289951102,186244,12.7934393526773,0.00490634914594052,0.743998148321479,0.0630987125587891,186630,0.997931736591116
2013,school_median_for_everyone,School median for everyone,2,stem_enrollment_m1,stem_enrollment,STEM enrollment,5,-0.0658792513358945,173564,12.684938374948,0.00813548544687846,0.478687107968528,0.0674853012135946,176588,0.982875393571477
2014,school_median_for_everyone,School median for everyone,2,stem_enrollment_m1,stem_enrollment,STEM enrollment,5,-0.0621110066324385,180653,12.6908102539773,0.00714167856255933,0.484395662456083,0.0666210110369886,183167,0.986274820246005
2015,school_median_for_everyone,School median for everyone,2,stem_enrollment_m1,stem_enrollment,STEM enrollment,5,-0.0634079071508494,177194,12.7019377311145,0.0065875852654085,0.48925581003089,0.0657005945651147,179019,0.989805551366056
2016,school_median_for_everyone,School median for everyone,2,stem_enrollment_m1,stem_enrollment,STEM enrollment,5,-0.0583755029138799,177745,12.7049876899728,0.00580700891366413,0.492288810761755,0.0648767236621274,178608,0.995168189554779
2017,school_median_for_everyone,School median for everyone,2,stem_enrollment_m1,stem_enrollment,STEM enrollment,5,-0.0615094510288067,165460,12.726762642384,0.00512347045042014,0.500878032501781,0.0641213823577549,165848,0.997660508417346
2018,school_median_for_everyone,School median for everyone,2,stem_enrollment_m1,stem_enrollment,STEM enrollment,5,-0.0698907987107328,179353,12.7298468245538,0.00583237831724239,0.496509745821914,0.0647645532239942,179676,0.998202319731071
2019,school_median_for_everyone,School median for everyone,2,stem_enrollment_m1,stem_enrollment,STEM enrollment,5,-0.0715420498954844,180744,12.7317911297883,0.00593122388390723,0.494163886537604,0.0648774262069964,181025,0.998447728214335
2020,school_median_for_everyone,School median for everyone,2,stem_enrollment_m1,stem_enrollment,STEM enrollment,5,-0.0665957035625571,184134,12.7377685167422,0.00489055770185394,0.494179845560458,0.0631153023902288,184504,0.997994623422798
2017,direct_or_school_median,Direct income + school median fallback,1,log_program_income_clp_m1,program_income,Program income,6,0.154141147419703,167919,12.602561978006,-0.00939447169543684,0.793429451056782,0.0552583628036009,168324,0.997593925999857
2018,direct_or_school_median,Direct income + school median fallback,1,log_program_income_clp_m1,program_income,Program income,6,0.142556262278669,181695,12.6586315480728,-0.00901617509344232,0.769111892138787,0.0552617958361033,182027,0.998176094755174
2019,direct_or_school_median,Direct income + school median fallback,1,log_program_income_clp_m1,program_income,Program income,6,0.138863785207054,182789,12.7323972460833,-0.00875749617532748,0.76042046591896,0.0554296300979294,183080,0.998410530915447
2020,direct_or_school_median,Direct income + school median fallback,1,log_program_income_clp_m1,program_income,Program income,6,0.129928280354024,186244,12.7934393526773,-0.00903660159641724,0.743998148321479,0.0550630260869809,186630,0.997931736591116
2013,school_median_for_everyone,School median for everyone,2,log_program_income_clp_m1,program_income,Program income,6,0.186746546934694,173564,12.684938374948,-0.00901758831914489,0.478687107968528,0.0553705728885861,176588,0.982875393571477
2014,school_median_for_everyone,School median for everyone,2,log_program_income_clp_m1,program_income,Program income,6,0.189845270732669,180653,12.6908102539773,-0.00941035875944834,0.484395662456083,0.055195569138488,183167,0.986274820246005
2015,school_median_for_everyone,School median for everyone,2,log_program_income_clp_m1,program_income,Program income,6,0.194713159590643,177194,12.7019377311145,-0.00918199759214042,0.48925581003089,0.0553289921940565,179019,0.989805551366056
2016,school_median_for_everyone,School median for everyone,2,log_program_income_clp_m1,program_income,Program income,6,0.196568139575085,177745,12.7049876899728,-0.00944940562978062,0.492288810761755,0.0550175888231183,178608,0.995168189554779
2017,school_median_for_everyone,School median for everyone,2,log_program_income_clp_m1,program_income,Program income,6,0.201576263181489,165460,12.726762642384,-0.00917116016726091,0.500878032501781,0.0552567144954867,165848,0.997660508417346
2018,school_median_for_everyone,School median for everyone,2,log_program_income_clp_m1,program_income,Program income,6,0.19344055673303,179353,12.7298468245538,-0.00882242605814442,0.496509745821914,0.0552737256549017,179676,0.998202319731071
