income_measure_key,income_measure_label,income_measure_order,outcome,outcome_key,outcome_label,plot_order,target_percentile,target_percentile_label,window_lower_percentile,window_upper_percentile,n_students_total,n_students,cohort_min,cohort_max,income_4to_cutpoint,log_income_4to_cutpoint,mean_income_4to,mean_log_income_4to,mean_attended_va_eb,sd_attended_va_eb,se_attended_va_eb
direct_or_school_median,Direct income + school median fallback,1,program_certified_years_m1,program_certified_years,Program-certified years,7,25,p25,22.5,27.5,798665,39933,2017,2020,250000,12.4292161968444,250000,12.4292161968444,-0.014711385591366,0.103936859800629,0.000520120082132594
direct_or_school_median,Direct income + school median fallback,1,program_certified_years_m1,program_certified_years,Program-certified years,7,50,p50,47.5,52.5,798665,39934,2017,2020,350000,12.7656884334656,350000,12.7656884334656,-0.015837357502847,0.105236917499041,0.000526619227721188
direct_or_school_median,Direct income + school median fallback,1,program_certified_years_m1,program_certified_years,Program-certified years,7,75,p75,72.5,77.5,798665,39933,2017,2020,7e+05,13.4588356140255,660673.503117722,13.395639247415,-0.00642847803830349,0.103701191316341,0.000518940751607898
direct_or_school_median,Direct income + school median fallback,1,program_certified_years_m1,program_certified_years,Program-certified years,7,90,p90,87.5,92.5,798665,39934,2017,2020,1500000,14.2209756660724,1526381.02869735,14.2278630380995,0.0173366015533085,0.103586641787517,0.000518361033340513
school_median_for_everyone,School median for everyone,2,program_certified_years_m1,program_certified_years,Program-certified years,7,10,p10,7.5,12.5,1580527,79026,2013,2020,250000,12.4292161968444,249352.744666312,12.4263275797691,-0.0155764774088082,0.102521560105498,0.000364695333513267
school_median_for_everyone,School median for everyone,2,program_certified_years_m1,program_certified_years,Program-certified years,7,25,p25,22.5,27.5,1580527,79026,2013,2020,250000,12.4292161968444,250000,12.4292161968444,-0.0156558670466239,0.102241330172038,0.000363698484177982
school_median_for_everyone,School median for everyone,2,program_certified_years_m1,program_certified_years,Program-certified years,7,50,p50,47.5,52.5,1580527,79026,2013,2020,350000,12.7656884334656,350000,12.7656884334656,-0.020492464132943,0.105526954625967,0.000375386288233946
school_median_for_everyone,School median for everyone,2,program_certified_years_m1,program_certified_years,Program-certified years,7,75,p75,72.5,77.5,1580527,79026,2013,2020,450000,13.0170028617465,488523.397362893,13.0943917775902,-0.00800890203244572,0.105633002780684,0.000375763528563814
school_median_for_everyone,School median for everyone,2,program_certified_years_m1,program_certified_years,Program-certified years,7,90,p90,87.5,92.5,1580527,79026,2013,2020,1100000,13.9108207377686,1166036.49431833,13.9473507327668,0.0084706156644202,0.101594141021065,0.000361396267327031
direct_or_school_median,Direct income + school median fallback,1,inst_certified_years_m1,institutional_quality,Institutional quality,8,10,p10,7.5,12.5,798665,39934,2017,2020,150000,11.9183905730784,150000,11.9183905730784,-0.00696847698571533,0.224758471395791,0.00112472063457507
direct_or_school_median,Direct income + school median fallback,1,inst_certified_years_m1,institutional_quality,Institutional quality,8,25,p25,22.5,27.5,798665,39933,2017,2020,250000,12.4292161968444,250000,12.4292161968444,-0.00349565279911071,0.221461204572942,0.00110823455829445
direct_or_school_median,Direct income + school median fallback,1,inst_certified_years_m1,institutional_quality,Institutional quality,8,50,p50,47.5,52.5,798665,39934,2017,2020,350000,12.7656884334656,350000,12.7656884334656,-0.00330031608400067,0.214284108361297,0.00107230555911311
direct_or_school_median,Direct income + school median fallback,1,inst_certified_years_m1,institutional_quality,Institutional quality,8,75,p75,72.5,77.5,798665,39933,2017,2020,7e+05,13.4588356140255,660673.503117722,13.395639247415,-0.0114134867390601,0.197425407223379,0.000987954795027044
direct_or_school_median,Direct income + school median fallback,1,inst_certified_years_m1,institutional_quality,Institutional quality,8,90,p90,87.5,92.5,798665,39934,2017,2020,1500000,14.2209756660724,1526381.02869735,14.2278630380995,0.00195362313948678,0.178814368791608,0.000894810367277683
school_median_for_everyone,School median for everyone,2,inst_certified_years_m1,institutional_quality,Institutional quality,8,10,p10,7.5,12.5,1580527,79026,2013,2020,250000,12.4292161968444,249352.744666312,12.4263275797691,-0.000180734303483922,0.227809678133249,0.000810377119299216
school_median_for_everyone,School median for everyone,2,inst_certified_years_m1,institutional_quality,Institutional quality,8,25,p25,22.5,27.5,1580527,79026,2013,2020,250000,12.4292161968444,250000,12.4292161968444,0.000160124125621756,0.228097692817258,0.000811401660977408
school_median_for_everyone,School median for everyone,2,inst_certified_years_m1,institutional_quality,Institutional quality,8,50,p50,47.5,52.5,1580527,79026,2013,2020,350000,12.7656884334656,350000,12.7656884334656,-0.000203513779959005,0.209084823147142,0.000743768035052754
school_median_for_everyone,School median for everyone,2,inst_certified_years_m1,institutional_quality,Institutional quality,8,75,p75,72.5,77.5,1580527,79026,2013,2020,450000,13.0170028617465,488523.397362893,13.0943917775902,-0.0118129444993248,0.197261325820101,0.00070170883992793
school_median_for_everyone,School median for everyone,2,inst_certified_years_m1,institutional_quality,Institutional quality,8,90,p90,87.5,92.5,1580527,79026,2013,2020,1100000,13.9108207377686,1166036.49431833,13.9473507327668,-0.0106058959173059,0.17350801333237,0.000617212250031681
