rank,school_rbd_Math,school_rbd_Program income,school_rbd_STEM enrollment,school_rbd_Verbal,school_name_Math,school_name_Program income,school_name_STEM enrollment,school_name_Verbal,comuna_name_Math,comuna_name_Program income,comuna_name_STEM enrollment,comuna_name_Verbal,dependency_detail_label_Math,dependency_detail_label_Program income,dependency_detail_label_STEM enrollment,dependency_detail_label_Verbal,eb_va_Math,eb_va_Program income,eb_va_STEM enrollment,eb_va_Verbal,n_students_regression_Math,n_students_regression_Program income,n_students_regression_STEM enrollment,n_students_regression_Verbal
21,31048,220,9579,16716,COMPLEJO EDUC. ADULTOS CALETA SUR,LICEO MINERO AMÉRICA,LICEO INDUSTRIAL DE SAN MIGUEL AGUSTIN ED,LICEO BICENTENARIO ZAPALLAR DE CURICO,LO ESPEJO,CALAMA,SAN JOAQUÍN,CURICÓ,Particular Subvencionado,Servicio Local de Educacion,Administracion Delegada,Municipal DAEM,0.390408922474348,0.121471669893844,0.222130319313907,0.268141389926404,5,400,266,603
22,17719,13145,2103,25722,COLEGIO PARTICULAR CONTINENTAL,LICEO TECNOLÓGICO DE COPIAPÓ,LICEO BICENTENARIO INDUSTRIAL PRESIDENTE PEDRO AGUIRRE,COLEGIO PART. PATRONA SENORA DE LOURDES,CURANILAHUE,COPIAPÓ,RANCAGUA,LA FLORIDA,Particular Subvencionado,Servicio Local de Educacion,Administracion Delegada,Particular Subvencionado,0.388641508843226,0.121075433128716,0.219556761630905,0.267035757497412,127,395,521,221
23,25770,31342,12062,22372,LICEO NACIONAL DE MAIPU,COLEGIO SAN LUCAS EVANGELISTA DE ANTOFAGASTA,LICEO MAURICIO HOCHSCHILD,COMPLEJO EDUCACIONAL SAN CRESCENTE,MAIPÚ,ANTOFAGASTA,SAN PEDRO DE LA PAZ,CASTRO,Servicio Local de Educacion,Particular Subvencionado,Particular Subvencionado,Particular Subvencionado,0.387139045139522,0.120697512979137,0.21944037518296,0.262820781593615,833,155,566,94
24,20153,8815,705,9973,COLEGIO PUCÓN,COLEGIO SAN FRANCISCO DEL ALBA,LICEO BICENTENARIO DE EXCELENCIA  POLITECNICO DE OVALLE,COLEGIO SANTA URSULA,PUCÓN,LAS CONDES,OVALLE,MAIPÚ,Particular Subvencionado,Corporacion Municipal,Municipal DAEM,Particular Subvencionado,0.3854887496838,0.120543337147828,0.217948232947908,0.253003257927845,86,207,463,121
25,1190,31037,12943,24213,COLEGIO PARROQUIAL FRANCISCO DIDIER,LICEO INSTITUTO CUMBRE DE CONDORES,COLEGIO TECNICO INDUSTRIAL DON BOSCO,LICEO BICENTENARIO SANTA TERESA DE LOS ANDES,ZAPALLAR,RENCA,ANTOFAGASTA,AYSÉN,Particular Subvencionado,Corporacion Municipal,Particular Subvencionado,Particular Subvencionado,0.385049586301022,0.117140123725398,0.215851256540377,0.25188053323063,85,524,421,98
26,31103,3433,610,6836,LICEO BICENTENARIO DE CORONEL,COLEGIO CONCEPCION DE PARRAL,LICEO INDUSTRIAL JOSE TOMAS DE URMENETA,COLEGIO ALONSO DE ERCILLA,CORONEL,PARRAL,COQUIMBO,VALDIVIA,Servicio Local de Educacion,Particular Subvencionado,Servicio Local de Educacion,Particular Subvencionado,0.383190197672881,0.116631737458975,0.212708279411138,0.248572185714574,290,174,107,141
27,24721,25395,8454,11105,COLEGIO LEONARDO DA VINCI DE LAS CONDES,COLEGIO BETTERLAND SCHOOL,INSTITUTO DON BOSCO,LICEO BICENTENARIO DE EXCELENCIA COLEGIO PARTICULAR MIGUEL DE CERVANTES,LAS CONDES,LO BARNECHEA,PUNTA ARENAS,COQUIMBO,Corporacion Municipal,Particular Subvencionado,Particular Subvencionado,Particular Subvencionado,0.369420665959531,0.116172082375237,0.208020415615374,0.244590757717567,90,155,232,240
28,16716,25464,1880,1734,LICEO BICENTENARIO ZAPALLAR DE CURICO,COLEGIO POLIVALENTE AGUSTINIANO DE EL BOSQUE,COLEGIO INDUSTRIAL ANDRES BELLO LOPEZ,COLEGIO RUBEN CASTRO-DIURNO,CURICÓ,EL BOSQUE,QUILPUÉ,VIÑA DEL MAR,Municipal DAEM,Particular Subvencionado,Corporacion Municipal,Particular Subvencionado,0.359695643565838,0.116143528664955,0.203393874807961,0.242205765809327,598,533,126,262
29,4691,22553,5567,4691,COLEGIO CHILENO ARABE,INSTITUTO TÉCNICO FORJADORES DE ALERCE,LICEO BICENTENARIO TECNOLOGICO PEDRO AGUIRRE CERDA,COLEGIO CHILENO ARABE,CHIGUAYANTE,PUERTO MONTT,TEMUCO,CHIGUAYANTE,Particular Subvencionado,Municipal DAEM,Municipal DAEM,Particular Subvencionado,0.355626427657508,0.115697474049096,0.202703448604446,0.238933759555164,112,69,48,112
30,24207,1397,6755,2150,LICEO SAN JOSE U.R.,ESCUELA PARTICULAR INDUSTRIAL E. BERTELSEN TEMPLE,LICEO INDUSTRIAL VALDIVIA,INSTITUTO SAGRADO CORAZON,AYSÉN,QUILLOTA,VALDIVIA,RANCAGUA,Particular Subvencionado,Particular Subvencionado,Servicio Local de Educacion,Particular Subvencionado,0.35489689426816,0.114414693042665,0.202674317547474,0.237383061309421,255,341,80,141
