school_rbd,exam_taking_va,area_income_va,program_income_full_va,institution_income_va,math_va,exam_taking_n,area_income_n,program_income_full_n,institution_income_n,math_n,complete_decomposition_input,decomposition_order,program_income_full_component_exam_taking_va,program_income_full_component_math_va,program_income_full_component_area_income_va,program_income_full_component_institution_income_va,program_income_full_component_residual_va,program_income_full_component_sum_va,reconstruction_error
131,-0.0306566249959262,-0.0123700695704489,-0.024902385446387,-0.0050008920707979,-0.187211147082113,75,51,51,51,50,TRUE,exam_math_area_institution,-0.00664172572965114,-0.0168239545498954,0.00440984205670545,0.003084341523239,-0.00893097538945784,-0.02490247208906,0
132,0.110285050217564,0.0267922269405414,0.0270060629712557,0.0095515161285633,0.11425113253045,685,653,653,653,647,TRUE,exam_math_area_institution,0.0102760499492114,0.00576213180413503,0.0156982059165226,-0.00546746041907607,0.000737049077789837,0.0270059763285827,0
133,0.0402523200344113,0.0006849817296156,-0.0105781378617714,-0.0257346737059186,-0.0283491522169192,160,145,145,145,142,TRUE,exam_math_area_institution,0.00186974984228972,-0.00461108111507537,0.00185411901181806,-0.0105438418827175,0.000852829639240715,-0.0105782245044444,0
134,-0.0022811392617221,0.0183430017457352,0.01692488220677,-0.0210928579813344,-0.102486580418265,64,42,42,42,41,TRUE,exam_math_area_institution,-0.00323570617083096,-0.00943846394514727,0.0310701884792613,-0.0136601095973351,0.012188886798149,0.016924795564097,0
144,-0.0995515344600876,-0.0359490449683249,-0.0462674534565495,-0.0501600111988769,-0.200384532513553,97,54,54,54,51,TRUE,exam_math_area_institution,-0.0149114488045665,-0.0120162715929561,-0.0169336953752026,-0.00752768583264602,0.00512156150614881,-0.0462675400992225,6.93889390390723e-18
161,0.0494078119602358,0.0031063248291799,0.0049816579199318,1.85319977625e-05,-0.0808550583024746,65,48,48,48,47,TRUE,exam_math_area_institution,0.00296871903217707,-0.011657956012845,0.00820199259511737,-0.000593911140424713,0.00606272680323408,0.00498157127725884,0
178,0.0379907217388927,0.0200300066264719,0.021257567428804,0.0208692121859053,-0.0600098431502165,23,18,18,18,18,TRUE,exam_math_area_institution,0.00159828143110952,-0.0081414795898748,0.0268310155431574,0.00245726264944546,-0.00148759924770649,0.021257480786131,0
191,-0.0681024807965756,-0.0177364739425457,-0.0282345240633728,-0.0416705933069087,-0.0895053522934676,544,344,344,344,337,TRUE,exam_math_area_institution,-0.0111364969715768,-0.00182567712107885,-0.00697963086081912,-0.0105357050440917,0.0022428992915207,-0.0282346107060458,0
199,0.0368704188676634,0.0351510289395977,0.0638662284260017,0.0727122315356161,-0.179184799478814,357,264,264,264,254,TRUE,exam_math_area_institution,0.00146380713428331,-0.0221131856043413,0.0538488083093534,0.0194033397437715,0.0112633722002619,0.0638661417833288,0
200,-0.219516488963745,0.036351534769883,0.0527429828176188,0.0214799368760613,-0.238123785673963,446,198,198,198,192,TRUE,exam_math_area_institution,-0.0293113073740322,-0.0053928238019929,0.0777109700282898,-0.000623845231469401,0.0103599025541505,0.0527428961749459,0
208,0.0882653680337114,0.0442306236417081,0.0647586436259714,0.0967578905544064,-0.184834217923682,396,364,364,364,360,TRUE,exam_math_area_institution,0.00763294213073267,-0.0275275432546323,0.0612000195059897,0.0261729191976729,-0.00271978059646448,0.0647585569832985,0
211,-0.0146938765141466,-0.0008720067439602,0.0093606886366731,0.0322141703648459,-0.0213868459829014,180,145,145,145,144,TRUE,exam_math_area_institution,-0.00472565514496575,0.00128634897606765,0.00331291083651343,0.0135679307021643,-0.00408093337577944,0.00936060199400014,0
217,0.055273665382893,-0.0262986844592066,-0.0122642781036006,0.0231652301733491,0.0035306234103685,923,814,814,814,798,TRUE,exam_math_area_institution,0.00367282015925168,-0.00223337091802517,-0.0328271484726477,0.0175343557605276,0.00158897872462011,-0.0122643647462736,0
