cohort_gr8,income_measure_key,income_measure_label,income_measure_order,outcome,outcome_key,outcome_label,plot_order,target_percentile,target_percentile_label,window_lower_percentile,window_upper_percentile,n_students_total,n_students,income_4to_cutpoint,log_income_4to_cutpoint,mean_income_4to,mean_log_income_4to,mean_attended_va_eb,sd_attended_va_eb,se_attended_va_eb
2019,direct_or_school_median,Direct income + school median fallback,1,z_year_leng_max,language,Language,2,25,p25,22.5,27.5,182786,9140,250000,12.4292161968444,250000,12.4292161968444,-0.0758157013871008,0.107964164941016,0.00112929272957996
2020,direct_or_school_median,Direct income + school median fallback,1,z_year_leng_max,language,Language,2,25,p25,22.5,27.5,186239,9312,250000,12.4292161968444,250000,12.4292161968444,-0.0792271816580735,0.106603833523859,0.0011047177669951
2017,direct_or_school_median,Direct income + school median fallback,1,z_year_leng_max,language,Language,2,50,p50,47.5,52.5,167911,8396,250000,12.4292161968444,250000,12.4292161968444,-0.0732896474950647,0.1104976050465,0.00120591486924618
2018,direct_or_school_median,Direct income + school median fallback,1,z_year_leng_max,language,Language,2,50,p50,47.5,52.5,181690,9085,350000,12.7656884334656,311937.259218492,12.6377295074705,-0.0635360628361915,0.111534683357297,0.0011701659935973
2019,direct_or_school_median,Direct income + school median fallback,1,z_year_leng_max,language,Language,2,50,p50,47.5,52.5,182786,9139,350000,12.7656884334656,350000,12.7656884334656,-0.0614689749541538,0.115073638452311,0.00120372285458593
2020,direct_or_school_median,Direct income + school median fallback,1,z_year_leng_max,language,Language,2,50,p50,47.5,52.5,186239,9312,350000,12.7656884334656,350000,12.7656884334656,-0.0649813528343226,0.112155278260565,0.00116224646395099
2017,direct_or_school_median,Direct income + school median fallback,1,z_year_leng_max,language,Language,2,75,p75,72.5,77.5,167911,8396,450000,13.0170028617465,462059.313959028,13.0412113487253,-0.0358382309750081,0.118510331576986,0.00129336170632694
2018,direct_or_school_median,Direct income + school median fallback,1,z_year_leng_max,language,Language,2,75,p75,72.5,77.5,181690,9084,450000,13.0170028617465,487522.016732717,13.0923090642645,-0.0333041480712074,0.117777498757291,0.0012357304949617
2019,direct_or_school_median,Direct income + school median fallback,1,z_year_leng_max,language,Language,2,75,p75,72.5,77.5,182786,9140,550000,13.2176735572087,542625.820568928,13.2028900348481,-0.0317346521207754,0.119350957463807,0.0012483972677964
2020,direct_or_school_median,Direct income + school median fallback,1,z_year_leng_max,language,Language,2,75,p75,72.5,77.5,186239,9312,550000,13.2176735572087,550000,13.2176735572087,-0.0356694439926667,0.118235716590103,0.00122525703338098
2017,direct_or_school_median,Direct income + school median fallback,1,z_year_leng_max,language,Language,2,90,p90,87.5,92.5,167911,8395,9e+05,13.7101500423064,833329.362715902,13.6263857703322,0.00455795289373671,0.122792696126098,0.00134017707584844
2018,direct_or_school_median,Direct income + school median fallback,1,z_year_leng_max,language,Language,2,90,p90,87.5,92.5,181690,9085,9e+05,13.7101500423064,844248.761695102,13.6401179909248,0.00415984235711698,0.122341248666538,0.00128354306028024
2019,direct_or_school_median,Direct income + school median fallback,1,z_year_leng_max,language,Language,2,90,p90,87.5,92.5,182786,9140,9e+05,13.7101500423064,912078.774617068,13.7221582375176,0.00388530395493728,0.122897361228561,0.00128549224268812
2020,direct_or_school_median,Direct income + school median fallback,1,z_year_leng_max,language,Language,2,90,p90,87.5,92.5,186239,9312,9e+05,13.7101500423064,941720.360824742,13.7520140889249,0.006059980867205,0.122500335954904,0.00126945057338827
2013,school_median_for_everyone,School median for everyone,2,z_year_leng_max,language,Language,2,10,p10,7.5,12.5,173561,8678,250000,12.4292161968444,224037.796727357,12.2992496287067,-0.0870392467568542,0.103652469273716,0.00111267884157427
2014,school_median_for_everyone,School median for everyone,2,z_year_leng_max,language,Language,2,10,p10,7.5,12.5,180650,9033,250000,12.4292161968444,223524.853315621,12.2967572435339,-0.088672655164248,0.102123460146431,0.00107450766042321
2015,school_median_for_everyone,School median for everyone,2,z_year_leng_max,language,Language,2,10,p10,7.5,12.5,177189,8859,250000,12.4292161968444,227158.82153742,12.3150618846064,-0.0860993094497,0.101622165201388,0.00107968257681076
2016,school_median_for_everyone,School median for everyone,2,z_year_leng_max,language,Language,2,10,p10,7.5,12.5,177738,8887,250000,12.4292161968444,228536.063913582,12.3224596068611,-0.0887746337547162,0.100955628967809,0.00107090993785768
