outcome_label,rank,school_rbd,school_name,comuna_name,region_name,dependency_detail_label,dependency_group_label,private_paid,eb_va,original_va,eb_reliability,n_students_regression,n_total,controlled_value_added_se,outcome
Program income,13,40125,COLEGIO PUMAHUE,VALPARAÍSO,VALPO,Particular Pagado,Particular Pagado,TRUE,0.149563572721456,0.24153614,0.607536587405407,173,565432,0.060907073,log_program_income_clp_m1
Program income,14,1288,INSTITUTO ABDON CIFUENTES,SAN FELIPE,VALPO,Particular Pagado,Particular Pagado,TRUE,0.148139811958813,0.33226377,0.437358195074846,217,565432,0.085951157,log_program_income_clp_m1
Program income,15,13574,COLEGIO CERVANTES,LA SERENA,COQ,Particular Pagado,Particular Pagado,TRUE,0.147235789156816,0.25966895,0.556147591044882,95,565432,0.067698434,log_program_income_clp_m1
Program income,16,11034,LICEO JORGE ALESSANDRI RODRÍGUEZ,TIERRA AMARILLA,ATCMA,Servicio Local de Educacion,Servicio Local de Educacion,FALSE,0.146841894329445,0.26868626,0.536016845670065,98,565432,0.070504405,log_program_income_clp_m1
Program income,17,8966,COLEGIO SAINT GABRIEL´S SCHOOL LOCAL SEDE,PROVIDENCIA,RM,Particular Pagado,Particular Pagado,TRUE,0.146098509142148,0.25913796,0.552898463300866,422,565432,0.068145119,log_program_income_clp_m1
Program income,18,11176,COLEGIO CHAMPAGNAT,VILLA ALEMANA,VALPO,Particular Pagado,Particular Pagado,TRUE,0.141127699174436,0.18966517,0.729212274595202,400,565432,0.046178717,log_program_income_clp_m1
Program income,19,12885,COLEGIO SAN AGUSTIN,ANTOFAGASTA,ANTOF,Particular Subvencionado,Particular Subvencionado,FALSE,0.140927271785262,0.21489601,0.642663130918995,411,565432,0.056506913,log_program_income_clp_m1
Program income,20,10666,LICEO POLIVALENTE GREGORIO MORALES MIRANDA,PAINE,RM,Municipal DAEM,Municipal,FALSE,0.140193501833566,0.20259322,0.678067953496567,213,565432,0.05221555,log_program_income_clp_m1
Program income,21,8953,COLEGIO HUELEN,VITACURA,RM,Particular Pagado,Particular Pagado,TRUE,0.139234270835189,0.31181872,0.437474507917914,198,565432,0.085930847,log_program_income_clp_m1
Program income,22,12970,NORTH COLLEGE,ANTOFAGASTA,ANTOF,Particular Subvencionado,Particular Subvencionado,FALSE,0.138518408120619,0.25124541,0.540096944672608,153,565432,0.069928087,log_program_income_clp_m1
Program income,23,10699,LICEO REPUBLICA DE GRECIA,TALAGANTE,RM,Corporacion Municipal,Municipal,FALSE,0.13842577826165,0.21929432,0.618366427575024,150,565432,0.059532579,log_program_income_clp_m1
Program income,24,8833,LICEO BICENTENARIO DE EXCELENCIA MARIA LUISA BOMBAL,VITACURA,RM,Particular Subvencionado,Particular Subvencionado,FALSE,0.136556849529843,0.39292499,0.34035839224889,121,565432,0.10549701,log_program_income_clp_m1
Program income,25,31340,NETLAND SCHOOL,ANTOFAGASTA,ANTOF,Particular Subvencionado,Particular Subvencionado,FALSE,0.136436059690322,0.1903623,0.701895944439226,537,565432,0.049385782,log_program_income_clp_m1
Program income,26,1443,LICEO INDUSTRIAL A-16 OSCAR CORONA BARAHO,CALERA,VALPO,Administracion Delegada,Administracion Delegada,FALSE,0.135827358608814,0.17359717,0.766175087571393,308,565432,0.04186352,log_program_income_clp_m1
