cohort_gr8,income_measure_key,income_measure_label,income_measure_order,outcome,outcome_key,outcome_label,plot_order,target_percentile,target_percentile_label,window_lower_percentile,window_upper_percentile,n_students_total,n_students,income_4to_cutpoint,log_income_4to_cutpoint,mean_income_4to,mean_log_income_4to,mean_attended_va_eb,sd_attended_va_eb,se_attended_va_eb
2013,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,50,p50,47.5,52.5,193870,9693,350000,12.7656884334656,350000,12.7656884334656,-0.0837396491806633,0.126413776727262,0.00128400081707982
2014,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,50,p50,47.5,52.5,201208,10061,350000,12.7656884334656,350000,12.7656884334656,-0.0821694835124053,0.127277489190143,0.00126891059866311
2015,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,50,p50,47.5,52.5,197501,9876,350000,12.7656884334656,350000,12.7656884334656,-0.0815791665404752,0.128872903804926,0.00129679424247726
2016,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,50,p50,47.5,52.5,198143,9908,350000,12.7656884334656,350000,12.7656884334656,-0.0794723495709035,0.127625247038411,0.00128216405308547
2017,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,50,p50,47.5,52.5,184836,9241,350000,12.7656884334656,350000,12.7656884334656,-0.0815895176267069,0.126461679126853,0.00131552606955957
2018,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,50,p50,47.5,52.5,199313,9966,350000,12.7656884334656,350000,12.7656884334656,-0.0798499850411942,0.127547006476261,0.00127764390874815
2019,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,50,p50,47.5,52.5,200799,10040,350000,12.7656884334656,350000,12.7656884334656,-0.0795819380588009,0.131061757963218,0.00130800418205746
2020,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,50,p50,47.5,52.5,204536,10227,350000,12.7656884334656,350000,12.7656884334656,-0.0817367909791993,0.12648501687637,0.00125073399762955
2013,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,75,p75,72.5,77.5,193870,9694,450000,13.0170028617465,453569.218073035,13.0242585447315,-0.0497787757343787,0.141552114559682,0.00143768868161225
2014,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,75,p75,72.5,77.5,201208,10061,450000,13.0170028617465,464655.600834907,13.0464987661805,-0.0438601377460689,0.141783124695319,0.00141352654567762
2015,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,75,p75,72.5,77.5,197501,9875,450000,13.0170028617465,480040.506329114,13.077364230771,-0.0432249126705037,0.140011580331783,0.00140894942913994
2016,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,75,p75,72.5,77.5,198143,9907,450000,13.0170028617465,485848.390027254,13.0890227544795,-0.0392103973865943,0.142064643073842,0.00142729887355883
2017,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,75,p75,72.5,77.5,184836,9241,550000,13.2176735572087,511513.905421491,13.14051883044,-0.0283386988264174,0.148968673763335,0.00154965658558751
2018,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,75,p75,72.5,77.5,199313,9966,550000,13.2176735572087,503587.196467991,13.1246249020338,-0.032116186762939,0.145430663625006,0.00145678527986678
2019,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,75,p75,72.5,77.5,200799,10040,550000,13.2176735572087,503645.418326693,13.1247285729963,-0.032216198006771,0.145711894781136,0.00145421342358868
2020,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,75,p75,72.5,77.5,204536,10227,550000,13.2176735572087,506301.945829667,13.1300737960414,-0.0317444620797188,0.147997776122845,0.00146346069077365
