school_rbd,area_income_va,program_income_full_va,institution_income_va,math_va,area_income_n,program_income_full_n,institution_income_n,math_n,complete_decomposition_input,program_income_full_component_math_va,program_income_full_component_institution_income_va,program_income_full_component_area_income_va,program_income_full_component_residual_va,program_income_full_component_sum_va,reconstruction_error
270,-0.0341846358932639,-0.0243236943108024,0.0094284249710936,0.0544606296021344,40,40,40,40,TRUE,0.0067822291255554,0.00484049588217084,-0.0344963173169162,-0.00145018864428536,-0.0243237809534754,0
279,0.0976247668234239,0.127085167514812,0.0476237276835678,-0.216709634782009,416,416,416,406,TRUE,-0.0260890529794828,0.0580241858411053,0.0618449904193075,0.0333049575912091,0.127085080872139,0
280,0.0396961048624256,0.0760519647948826,0.0811666124395537,-0.144137807603614,405,405,405,387,TRUE,-0.0172918900255104,0.0837749296441956,-0.00502080350927278,0.0145896420427972,0.0760518781522097,0
283,-0.0197550108682673,0.0042128806010471,0.052001191138503,-0.140256061108212,410,410,410,401,TRUE,-0.0168213443910162,0.0568673396752921,-0.0393930870196237,0.00355988569372196,0.00421279395837415,-3.46944695195361e-18
284,0.0231682184654414,0.05569742831596,0.0780446361011709,0.0817818525268123,48,48,48,48,TRUE,0.0100941100511848,0.0656863209516334,-0.0227908473130114,0.00270775798348022,0.0556973416732871,0
285,0.016503912527723,0.0353264214233141,0.0363720367909114,-0.0803670378679057,116,116,116,110,TRUE,-0.00956159199007255,0.0385493986373122,-0.00293523378898509,0.00927376192238661,0.0353263347806412,0
286,0.0267278697285735,0.0624690803775225,0.0749038604814294,-0.155502471611912,171,171,171,168,TRUE,-0.0186695155461188,0.0788196704040657,-0.0122613254747046,0.0145801643516073,0.0624689937348496,-6.93889390390723e-18
287,0.0150348043068305,0.0434464671010389,0.0833470077898499,-0.175139563721524,598,598,598,585,TRUE,-0.0210499254923335,0.0878577614458824,-0.0257480374127949,0.00238658191761195,0.0434463804583659,6.93889390390723e-18
304,0.0682566255938395,0.102733671639206,0.112978281863178,-0.0962788357320296,380,380,380,375,TRUE,-0.0114904214565992,0.109610689053457,0.00114871292085635,0.00346460447881919,0.102733584996533,0
320,0.0372032568239784,0.0885088095805185,0.120159365598552,-0.198804132937197,94,94,94,93,TRUE,-0.0239185465498424,0.123085845161157,-0.0256153321391521,0.0149567564656825,0.0885087229378456,0
329,0.0528903591831893,0.0836295379615656,0.0579345714166849,-0.0875742990873828,89,89,89,88,TRUE,-0.0104352567972673,0.058735198231287,0.0163282281329454,0.0190012817519276,0.0836294513188926,0
335,-0.0055468675655989,0.0098111301143672,0.0373672367937473,-0.0733200334579506,66,66,66,65,TRUE,-0.00870735352671754,0.038983362625529,-0.0218575067807728,0.00139254115365562,0.00981104347169424,0
336,-0.0040102911940367,0.0149290322566213,0.0686036428770237,-0.0598724085817574,328,328,328,325,TRUE,-0.00707723131567055,0.066614306133374,-0.0368760921914998,-0.0077320370122553,0.0149289456139483,0
337,0.0789771011950574,0.126523964259815,0.121783702982165,0.02023366041732,230,230,230,228,TRUE,0.00263323306129418,0.109797635570059,0.00258118987701757,0.0115118191087709,0.126523877617142,0
341,0.0184252583422172,0.034568792280847,0.058462621393356,-0.0625731368487599,243,243,243,237,TRUE,-0.0074046138218436,0.0575315157656183,-0.0130750117406335,-0.00248318456496715,0.034568705638174,6.93889390390723e-18
342,0.0579570339788164,0.084400023636696,0.095066480626569,0.142083274151724,422,422,422,420,TRUE,0.0174038534187663,0.0771708226715384,-0.00423189403116526,-0.0059428450651164,0.0843999369940231,0
344,0.0262470539049591,0.0532554521749852,0.0719059095668198,-0.0438658583045883,246,246,246,244,TRUE,-0.00513691595371794,0.0685517831761287,-0.0139424254330431,0.00378292374294457,0.0532553655323123,0
350,0.0020923943250082,0.0176386715485617,0.0518754511102577,-0.111632704121906,210,210,210,207,TRUE,-0.0133516186656423,0.0548220626469516,-0.0219822186774535,-0.00184964039796701,0.0176385849058887,0
355,-0.0143029874981935,-0.015462373629866,-0.007798402075576,0.0904662254292646,13,13,13,12,TRUE,0.0111468304600032,-0.0133263615538845,-0.0101648839577568,-0.00311804522090081,-0.015462460272539,0
356,0.0422788391053221,0.0745797453954559,0.0817788426434843,-0.198494197872243,270,270,270,268,TRUE,-0.0238809761953734,0.0880001408544769,-0.00182715495536372,0.0122876490490432,0.0745796587527829,0
357,0.0806686911728879,0.136308191901985,0.101835943890371,0.226167680776888,241,241,241,241,TRUE,0.0275965722151571,0.0776846955310476,0.00897465747039902,0.0220521800427083,0.136308105259312,-2.77555756156289e-17
358,0.0653419680302496,0.0996707233998526,0.0700395704791719,-0.0618334345308803,92,92,92,91,TRUE,-0.00731494704506779,0.0680584372824792,0.0197958248276952,0.019131321692073,0.0996706367571796,0
361,0.0983424363954186,0.172969763325615,0.117252615965922,0.802201469249807,200,200,200,200,TRUE,0.0974234361817155,0.0529209748799446,0.0011973724316529,0.0214278931896291,0.172969676682942,0
364,0.0386004632891908,0.073487982269972,0.0743957178621551,0.012406792801931,117,117,117,116,TRUE,0.00168445951501856,0.0670313877704745,-0.00641589576812555,0.0111879441099315,0.073487895627299,0
365,0.0418089683580911,0.0683080002502982,0.0707588427496196,-0.186921450162653,236,236,236,235,TRUE,-0.0224781267511089,0.077151684202336,0.00311969004924608,0.010514666107152,0.0683079136076253,0
