score_year,outcome,score_scale,n_students,mean,sd,min,p01,p05,p25,median,p75,p95,p99,max,share_gt_850,share_gt_1000
2021,leng_max,raw,1273,396.5970149253731,92.26671359500784,158,209,236,337,394,456,551,630.9599999999998,712,0,0
2022,leng_max,raw,144144,499.8494560994561,109.54550177679039,150,244,318,423,502,574,682,756,850,0,0
2023,leng_max,raw,163007,636.4424656609839,129.16720635403885,100,364,421,551,633,729,853,912,1000,0.06141454047985669,0
2024,leng_max,raw,168350,591.3602613602613,130.18657860603804,100,334,385,491,589,686,815,878,1000,0.025013365013365013,0
2025,leng_max,raw,171022,588.7311106173474,117.51628413314675,100,369,415,494,583,680,795,876,1000,0.01766439405456608,0
2021,leng_max,scale1000,1273,466.5847234416155,108.54907481765628,185.88235294117646,245.8823529411765,277.64705882352945,396.47058823529414,463.5294117647059,536.4705882352941,648.2352941176471,742.3058823529409,837.6470588235294,0,0
2022,leng_max,scale1000,144144,588.0581836464189,128.87706091387108,176.47058823529412,287.05882352941177,374.11764705882354,497.64705882352945,590.5882352941177,675.2941176470589,802.3529411764706,889.4117647058824,1000,0.023032523032523032,0
2023,leng_max,scale1000,163007,636.4424656609839,129.16720635403885,100,364,421,551,633,729,853,912,1000,0.06141454047985669,0
2024,leng_max,scale1000,168350,591.3602613602613,130.18657860603804,100,334,385,491,589,686,815,878,1000,0.025013365013365013,0
2025,leng_max,scale1000,171022,588.7311106173474,117.51628413314675,100,369,415,494,583,680,795,876,1000,0.01766439405456608,0
2021,leng_max,z_year,1273,2.027936712682172e-16,0.9999999999999999,-2.5859489910160036,-2.0332036074114943,-1.7405736984444011,-0.6459210760119417,-0.028146823748078417,0.6438181523985799,1.6734419061716854,2.5400599625053415,3.4183832151976854,0,0
2022,leng_max,z_year,144144,-1.914928205787538e-16,1,-3.1936451102511576,-2.3355541939163715,-1.6600358129719655,-0.7015300021724704,0.019631512619530674,0.6768926400248987,1.6627843311329509,2.3383027120773567,3.196393628412143,0,0
2023,leng_max,z_year,163007,2.3955608859514204e-17,1,-4.153085607430652,-2.1092231794054364,-1.6679347006272645,-0.6614872928875746,-0.026651235697924068,0.7165714654021546,1.6765674543230895,2.1333397393741795,2.814627215382585,0,0
2024,leng_max,z_year,168350,1.117327611154509e-16,0.9999999999999999,-3.774277399571142,-1.9768570932266978,-1.5851116418439342,-0.7708956056366216,-0.01812983631287994,0.7269546496504155,1.7178402031479938,2.2017610548561133,3.1388776248305676,0,0
2025,leng_max,z_year,171022,2.9599514636844526e-16,0.9999999999999999,-4.158837340905127,-1.8697928737126388,-1.4783577603637374,-0.8061105004819284,-0.04876865074166277,0.7766488708853684,1.7552366542576219,2.444502832111122,3.4996757463559867,0,0
2021,leng_math_total,raw,1284,800.3785046728972,165.98770260943914,158,304,503.29999999999995,716,809.5,901.25,1045,1178,1380,0.3847352024922118,0.08333333333333333
2022,leng_math_total,raw,144550,996.8196610169491,208.10523790376988,150,466,679,856,989,1137,1344,1479,1685,0.7566724316845382,0.4802282947077136
2023,leng_math_total,raw,163615,1183.8070042477768,252.24740988916926,100,498,844,1016,1156,1329,1660,1843,1994,0.9462885432264768,0.77753262231458
2024,leng_math_total,raw,169087,1177.447136681117,268.1378997086807,100,473,810,997,1151,1338,1681,1833,1975,0.9241573864342025,0.7426117915629232
2025,leng_math_total,raw,171850,1195.003898748909,268.538519852011,100,476,838,1010,1166,1364,1688,1832,1978,0.9437067209775968,0.7648530695373873
2021,leng_math_total,scale1000,1284,941.6217702034085,195.2796501287519,185.88235294117646,357.64705882352945,592.1176470588235,842.3529411764706,952.3529411764706,1060.2941176470588,1229.4117647058824,1385.8823529411766,1623.5294117647059,0.7281931464174455,0.3847352024922118
2022,leng_math_total,scale1000,144550,1172.7290129611167,244.829691651494,176.47058823529412,548.2352941176471,798.8235294117648,1007.0588235294118,1163.5294117647059,1337.6470588235295,1581.1764705882354,1740,1982.3529411764707,0.9209961950882047,0.7566724316845382
2023,leng_math_total,scale1000,163615,1183.8070042477768,252.24740988916926,100,498,844,1016,1156,1329,1660,1843,1994,0.9462885432264768,0.77753262231458
2024,leng_math_total,scale1000,169087,1177.447136681117,268.1378997086807,100,473,810,997,1151,1338,1681,1833,1975,0.9241573864342025,0.7426117915629232
2025,leng_math_total,scale1000,171850,1195.003898748909,268.538519852011,100,476,838,1010,1166,1364,1688,1832,1978,0.9437067209775968,0.7648530695373873
2021,leng_math_total,z_year,1284,1.0191763239063264e-16,0.9999999999999999,-3.870036723047984,-2.990453490647143,-1.7897621329931184,-0.5083419033242217,0.05495283797357717,0.6077046295679414,1.4737326409215092,2.2749968183825495,3.491954441293302,0,0
2022,leng_math_total,z_year,144550,2.0389518656659315e-16,1,-4.069189557874212,-2.55072705696339,-1.5272064471722349,-0.6766752362190214,-0.037575512734403196,0.6736031269326906,1.6682921702508557,2.3170024158931373,3.3068861981324704,0,0
2023,leng_math_total,z_year,163615,-1.5433317444644719e-16,1,-4.2966031037701145,-2.7187871009224716,-1.3471179125172341,-0.6652476801308157,-0.11023702586280067,0.5755975683398179,1.8878013295020535,2.613279541866673,3.2118981761128893,0,0
2024,leng_math_total,z_year,169087,-4.3112400412947174e-16,1,-4.018257537825547,-2.627182272429469,-1.3703662819777849,-0.6729639371277403,-0.09863259431005658,0.5987697505399879,1.877962286815738,2.4448347810253996,2.9744130321949522,0,0
