school_rbd,highinst_va,highpay_va,income_va,math_va,highinst_n,highpay_n,income_n,math_n,math_va_joint,highinst_va_joint,highpay_va_joint
280,0.153423399503165,-0.0499292086856251,0.027612170245354,-0.130214268860257,758,726,758,398,-0.103505043352326,0.153408820765331,-0.0494529440806615
283,0.142778908999484,0.0075200860406941,-0.0038544987252896,-0.136362793265523,723,664,723,407,-0.109653567757592,0.14276433026165,0.00799635064565767
284,0.129119009993688,-0.0099660025780711,-0.0052406207819298,0.117725790310453,103,97,103,50,0.144435015818385,0.129104431255854,-0.00948973797310753
285,0.105456069298109,0.0585741511334492,0.0503207085679956,-0.0717403612865419,180,173,180,111,-0.0450311357786104,0.105441490560275,0.0590504157384128
286,0.104880130641404,-0.0128462032482317,-0.0468723816927849,-0.155415651628094,403,367,403,170,-0.128706426120163,0.10486555190357,-0.0123699386432681
287,0.223943356856868,-0.0122687506082898,0.0428469577631752,-0.171149595667692,784,734,784,594,-0.144440370159761,0.223928778119034,-0.0117924860033262
298,0.0060260980478785,0.0007408421135814,-0.0011581650495311,,1,1,1,,,,
304,0.311952345041125,0.0362856798436282,0.111173464978151,-0.105466678879806,428,410,428,377,-0.0787574533718745,0.311937766303291,0.0367619444485918
312,0.0056736772641852,0.0009903667860878,-0.0076855116946111,,1,1,1,,,,
320,0.272518737015141,-0.0165247254834636,0.0652193580214978,-0.223585365782712,155,145,155,98,-0.19687614027478,0.272504158277307,-0.0160484608785
324,-0.0059082128528737,-0.0088766483524968,-0.0363239515192568,,3,3,3,,,,
329,0.259953957340155,0.0063237960656522,0.124383461051427,-0.0860269786311413,103,97,103,89,-0.0593177531232098,0.259939378602321,0.00680006067061577
335,0.115987779361436,-0.0328904612509145,-0.0477293289526607,-0.0614475760931586,97,94,97,66,-0.0347383505852271,0.115973200623602,-0.0324141966459509
336,0.231106766015134,-0.0460430589448555,0.0378677041676197,-0.0677280133997647,405,372,405,329,-0.0410187878918332,0.2310921872773,-0.0455667943398919
337,0.422684275379878,0.0616537899247902,0.183177735967055,0.0223260326540557,247,241,247,228,0.0490352581619872,0.422669696642044,0.0621300545297538
341,0.234613984608417,0.0528208052358472,0.0910998290604345,-0.0795246838161214,267,251,267,237,-0.0528154583081899,0.234599405870583,0.0532970698408108
342,0.321621244621236,0.0216511815505992,0.108365936938619,0.149427427173242,452,435,452,426,0.176136652681174,0.321606665883402,0.0221274461555628
344,0.289091955713775,-0.0299888148052588,0.0667793225163096,-0.037683933154178,266,257,266,246,-0.0109747076462465,0.289077376975941,-0.0295125502002952
350,0.213692802193118,0.0360366408841118,0.0510545303391502,-0.114964307158961,236,223,236,208,-0.0882550816510295,0.213678223455284,0.0365129054890754
355,0.048341951198317,0.0026735630228232,-0.0376794485370427,0.0890474999424018,18,16,18,12,0.115756725450333,0.0483273724604832,0.00314982762778677
356,0.306112781854372,0.0011320796189529,0.112855643302801,-0.202105426781485,285,275,285,270,-0.175396201273553,0.306098203116538,0.00160834422391647
357,0.452277824065135,0.101529684287046,0.212629571605474,0.219206414420033,245,238,245,243,0.245915639927965,0.452263245327301,0.10200594889201
358,0.334091979645885,0.0750783898508985,0.127976449086251,-0.0657577487976178,102,99,102,92,-0.0390485232896863,0.334077400908051,0.0755546544558621
361,0.439737205433733,0.0679541480147645,0.230609157591344,0.78381184554581,210,209,210,201,0.810521071053742,0.439722626695899,0.0684304126197281
364,0.305191808406309,0.0190179208423501,0.0913782594633773,0.0188178261380132,132,124,132,117,0.0455270516459447,0.305177229668475,0.0194941854473137
365,0.277733257491115,0.0271634776138852,0.11058605496075,-0.154801888943735,256,247,256,237,-0.128092663435804,0.277718678753281,0.0276397422188488
366,0.434724280892031,0.0915962750160079,0.219685530924223,0.545607328673911,234,232,234,225,0.572316554181843,0.434709702154197,0.0920725396209715
367,0.146132425195743,0.0551701695784023,0.0619444946261715,-0.0766079193808028,389,370,389,283,-0.0498986938728713,0.146117846457909,0.0556464341833659
371,-0.0093259326797219,-0.0007671674972038,-0.0256306478195005,-0.018393993940846,15,14,15,5,0.0083152315670855,-0.00934051141755569,-0.000290902892240228
372,0.132846967913893,0.0248067068199882,-0.0256722634302733,-0.133976272909517,288,274,288,174,-0.107267047401586,0.132832389176059,0.0252829714249518
373,0.207541249676152,-0.0392725476918587,-0.0116819063927436,-0.0592855399816935,328,315,328,288,-0.032576314473762,0.207526670938318,-0.0387962830868951
379,0.0973425207028291,-0.0560707382085502,-0.0744745489703672,-0.0944695810197834,573,551,573,380,-0.0677603555118519,0.0973279419649953,-0.0555944736035866
381,-0.0110046869858878,-0.0054612680367599,-0.0177455808500174,,1,1,1,,,,
384,0.143534715600737,0.033554298238393,0.0442490865753025,-0.0995326049050418,405,386,405,285,-0.0728233793971103,0.143520136862903,0.0340305628433566
392,0.0093854621532928,0.0021846030098518,0.0657637422956263,-0.0861563911982292,256,243,256,221,-0.0594471656902977,0.00937088341545901,0.00266086761481537
396,0.122917976291502,-0.0098899626464165,0.032278455066301,-0.154703386600864,464,434,464,279,-0.127994161092933,0.122903397553668,-0.00941369804145293
397,0.0221856111889124,-0.0020567905297555,-0.0132685692219943,0.0060796831632213,5,5,5,2,0.0327889086711528,0.0221710324510786,-0.00158052592479193
399,0.160224442763756,0.0187933824995693,0.0430770316655341,-0.0427472177763231,538,510,538,234,-0.0160379922683916,0.160209864025922,0.0192696471045329
400,0.238974693668253,-0.0087282502784942,0.0404051522028577,-0.0642694640916291,532,510,532,432,-0.0375602385836976,0.238960114930419,-0.00825198567353063
415,0.216167867635337,-0.0188490405350763,0.0243120242990395,-0.16589001652305,302,287,302,279,-0.139180791015119,0.216153288897503,-0.0183727759301127
