school_rbd,highinst_va,highpay_va,income_va,math_va,highinst_n,highpay_n,income_n,math_n,math_highinst_highpay_math_orth_va,math_highinst_highpay_highinst_orth_va,math_highinst_highpay_highpay_orth_va
108,-0.0633904956425376,-0.0378910342581747,-0.100814361782311,-0.150552561292012,273,255,273,117,-0.123843335784081,-0.0268797961192925,-0.0300346978836427
109,-0.0579840938744605,-0.0306361527414662,-0.0652635349403093,-0.258172961920147,176,166,176,101,-0.231463736412216,0.01026723226082,-0.0184957087509496
110,-0.0901889410666594,-0.004683902011878,-0.0281542773227155,-0.0477644657692781,159,149,159,113,-0.0210552402613466,-0.0839936700412376,-0.000157978085472252
124,-0.0688388161145612,0.0658033800633162,-0.0116231202360122,-0.232647645667016,753,728,753,347,-0.205938420159085,-0.00811570514681412,0.0772645789189834
125,-0.0622520527496402,0.0618013887946592,0.0547389041205195,-0.0071610298856237,140,135,140,103,0.0195481956223078,-0.0680320065888977,0.0636561045329247
127,-0.0274326301922175,0.0739132742238357,0.0613866984108398,-0.125291593957389,277,272,277,254,-0.0985823684494575,0.00162781893846887,0.0794540117423768
129,-0.0600940756634101,-0.0063372408390847,-0.0244331199773698,-0.0882636264132816,31,26,31,15,-0.0615544009053501,-0.0419543338071847,-0.00118659278832938
130,-0.0508094083488144,0.0503542620767875,0.0746521918918779,-0.0296715355113158,92,88,92,87,-0.00296231000338431,-0.0499503090927202,0.0527421919311968
131,-0.0916964707037742,-0.0503660522818716,-0.080919301095179,-0.175993636031605,75,67,75,51,-0.149284410523674,-0.0476824014736224,-0.0404559005376198
132,0.0272750821774499,0.0397711547456216,0.0765096617767013,0.114979230799745,685,666,685,649,0.141688456307676,-0.0145278597391949,0.0333973642957632
133,-0.0750789805003232,0.0033982381643191,0.0308974733947028,-0.0166200903427466,160,154,160,143,0.0100891351651849,-0.0780691611709449,0.00609760011473094
134,-0.0582852398757378,0.0135080082813297,-0.0153771079682437,-0.137133253577244,64,63,64,41,-0.110424028069313,-0.0257323144648398,0.0206267767754897
144,-0.0453737064765873,0.006691076490946,-0.065221149910353,-0.201175101740788,97,88,97,51,-0.174465876232857,0.00606716562694086,0.0160180503054224
161,-0.0302599488833188,0.0303799592547299,0.0434518963585659,-0.0772261798545581,65,61,65,47,-0.0505169543466266,-0.0153754956891498,0.0340218524130827
178,-0.0762757149449423,-0.0278368338020305,0.0391098945140834,-0.0634807558312356,23,23,23,18,-0.0367715303233041,-0.0654452177758573,-0.0231471081649209
191,-0.0615258415422164,-0.0464083109892765,-0.0554079972528268,-0.0883512846916627,546,533,546,341,-0.0616420591837312,-0.0433602465144054,-0.0412036343898354
199,0.148912643419562,0.0462315930789967,0.0254732785840017,-0.189270396979311,358,341,358,255,-0.16256117147138,0.19684244525616,0.0482266494614514
