cohort_gr8,income_measure_key,income_measure_label,income_measure_order,outcome,outcome_key,outcome_label,plot_order,rho,n_students,mean_log_income_4to,mean_attended_va_eb,sd_log_income_4to,sd_attended_va_eb,n_students_with_income_and_rbd,va_match_rate_among_income_rbd
2017,school_median_for_everyone,School median for everyone,2,admission_exam_taker,exam_taking,Exam taking,3,0.324117199011525,185235,12.8921017293218,-0.000725113961044673,0.701385477851434,0.103220710162337,185256,0.999886643347584
2018,school_median_for_everyone,School median for everyone,2,admission_exam_taker,exam_taking,Exam taking,3,0.318495681054672,199654,12.8869286517737,-0.00104155992034312,0.689539068426782,0.102714932149892,199665,0.999944907720432
2019,school_median_for_everyone,School median for everyone,2,admission_exam_taker,exam_taking,Exam taking,3,0.314480157347081,201096,12.8878171993439,-0.000509549782916145,0.687036747027857,0.102029021510652,201100,0.999980109398309
2020,school_median_for_everyone,School median for everyone,2,admission_exam_taker,exam_taking,Exam taking,3,0.315978149986251,204926,12.8921941012707,-0.00184063434909386,0.684603819553038,0.103938306461256,204934,0.99996096304176
2017,direct_or_school_median,Direct income + school median fallback,1,higher_ed_enrolled_m1,higher_ed_enrollment,Higher-ed enrollment,4,0.183224916986513,187728,12.7737505112515,-0.000708513557986626,0.927537311199514,0.0493802392036656,187754,0.999861520926319
2018,direct_or_school_median,Direct income + school median fallback,1,higher_ed_enrolled_m1,higher_ed_enrollment,Higher-ed enrollment,4,0.175302314369463,202030,12.8174520991248,-0.000538348529437821,0.894414669885793,0.0491167106468147,202043,0.999935657261078
2019,direct_or_school_median,Direct income + school median fallback,1,higher_ed_enrolled_m1,higher_ed_enrollment,Higher-ed enrollment,4,0.174173361105013,203178,12.8865334266367,-0.000142352990011071,0.87879388066622,0.0489409126684344,203184,0.999970470115757
2020,direct_or_school_median,Direct income + school median fallback,1,higher_ed_enrolled_m1,higher_ed_enrollment,Higher-ed enrollment,4,0.174102108205923,207105,12.9421129777525,-0.000928083064697441,0.856643424497764,0.0495104512356029,207113,0.999961373742836
2013,school_median_for_everyone,School median for everyone,2,higher_ed_enrolled_m1,higher_ed_enrollment,Higher-ed enrollment,4,0.197091297153212,195007,12.8446043832924,-0.00457394331824571,0.684449725605566,0.0502102154289548,197202,0.988869281244612
2014,school_median_for_everyone,School median for everyone,2,higher_ed_enrolled_m1,higher_ed_enrollment,Higher-ed enrollment,4,0.194022119043561,202366,12.8481956286025,-0.00403202537078105,0.684864354596046,0.0504441999002,204007,0.991956158367115
2015,school_median_for_everyone,School median for everyone,2,higher_ed_enrolled_m1,higher_ed_enrollment,Higher-ed enrollment,4,0.191427853472768,198472,12.8628573690004,-0.00303162981665266,0.691521737202075,0.0501614275048571,199483,0.994931898958809
2016,school_median_for_everyone,School median for everyone,2,higher_ed_enrolled_m1,higher_ed_enrollment,Higher-ed enrollment,4,0.18389725106303,198852,12.8675274574465,-0.00219948155319242,0.694780000823521,0.0498003101328971,199123,0.998639032156004
2017,school_median_for_everyone,School median for everyone,2,higher_ed_enrolled_m1,higher_ed_enrollment,Higher-ed enrollment,4,0.179556732290852,185235,12.8921017293218,-0.00047217171875446,0.701385477851434,0.0492305690314933,185256,0.999886643347584
2018,school_median_for_everyone,School median for everyone,2,higher_ed_enrolled_m1,higher_ed_enrollment,Higher-ed enrollment,4,0.171928462831596,199654,12.8869286517737,-0.000350566840412742,0.689539068426782,0.0490010491899829,199665,0.999944907720432
2019,school_median_for_everyone,School median for everyone,2,higher_ed_enrolled_m1,higher_ed_enrollment,Higher-ed enrollment,4,0.168930408252004,201096,12.8878171993439,3.43033908178061e-05,0.687036747027857,0.0488251889440301,201100,0.999980109398309
2020,school_median_for_everyone,School median for everyone,2,higher_ed_enrolled_m1,higher_ed_enrollment,Higher-ed enrollment,4,0.168516175792155,204926,12.8921941012707,-0.000757445534596471,0.684603819553038,0.0494211209202208,204934,0.99996096304176
2017,direct_or_school_median,Direct income + school median fallback,1,stem_enrollment_m1,stem_enrollment,STEM enrollment,5,-0.0700756452271518,187342,12.7752301078596,0.00397175548377223,0.927286928567674,0.0618194256142981,187754,0.99780563929397
2018,direct_or_school_median,Direct income + school median fallback,1,stem_enrollment_m1,stem_enrollment,STEM enrollment,5,-0.0782942646961385,201707,12.8185841496861,0.0046350114913206,0.8941673780081,0.0625354993535228,202043,0.998336987670941
2019,direct_or_school_median,Direct income + school median fallback,1,stem_enrollment_m1,stem_enrollment,STEM enrollment,5,-0.0838146579967556,202891,12.8875733961991,0.00470501263144606,0.878509488666935,0.0626403364332508,203184,0.998557957319474
2020,direct_or_school_median,Direct income + school median fallback,1,stem_enrollment_m1,stem_enrollment,STEM enrollment,5,-0.0813566988728189,206725,12.943214914017,0.00380455101345915,0.856532675592598,0.0610218175458899,207113,0.998126626527548
2013,school_median_for_everyone,School median for everyone,2,stem_enrollment_m1,stem_enrollment,STEM enrollment,5,-0.0868573372544694,193936,12.8465220028957,0.00658185318316526,0.685158738795693,0.0649895403769247,197202,0.98343830184278
2014,school_median_for_everyone,School median for everyone,2,stem_enrollment_m1,stem_enrollment,STEM enrollment,5,-0.0818544469760206,201271,12.8500162688025,0.00573468058109119,0.685490458426795,0.0642531348527056,204007,0.986588695485939
