outcome,feature,label,block,estimate,se,p,stars,schools,student_share,sample_schools
z_year_leng_max,tp,Technical-professional,track,-0.7847275057221332,0.03175155787146194,7.449085928855513e-135,***,931,0.4081507879897891,3275
z_year_leng_max,artistic,Artistic,track,0.172990988345355,0.05218931358849159,0.0009174736940108311,***,2,0.00045787969938742093,3275
z_year_leng_max,size_under100,Fewer than 100 students,size,-0.2311124403002732,0.04041355021061419,1.0735039246290097e-08,***,627,0.03632335834909224,3275
z_year_leng_max,size_250_499,250--499 students,size,0.1513495122448078,0.033496753923680254,6.23281975517907e-06,***,977,0.36772768597392735,3275
z_year_leng_max,size_500_plus,500+ students,size,0.10544725362390853,0.04115942103580017,0.010409449454207449,**,466,0.3879921710511515,3275
high_inst_m1,intercept,"Intercept (omitted: Municipal, no tracks, 100--249 students)",base,-0.3223575825641616,0.036764651176272846,1.816430345096491e-18,***,84,0.012501621095145717,3276
high_inst_m1,admin_1,Corporaci\'on Municipal,admin,0.5622900449051846,0.05856229863279632,7.873536881605963e-22,***,222,0.08837946065833664,3276
high_inst_m1,admin_3,Private subsidized,admin,0.11867430997980256,0.03308731339146625,0.000334887560202063,***,1796,0.5283857068371839,3276
high_inst_m1,admin_4,Fully private,admin,1.553122251323368,0.06876736104130397,6.063108522177766e-113,***,476,0.10174125468794247,3276
high_inst_m1,admin_5,Delegated administration,admin,0.1283763267275861,0.08516919475589299,0.13173137263403295,,70,0.044460353967779254,3276
high_inst_m1,admin_6,SLEP,admin,0.2964413537228119,0.07697794466817164,0.00011764093736683475,***,177,0.05328308158938783,3276
high_inst_m1,tp,Technical-professional,track,-0.12372125741055676,0.03186502113750012,0.00010331712767695222,***,931,0.4081480873723967,3276
high_inst_m1,artistic,Artistic,track,2.3130567821730073,0.8387409146673678,0.00581966522097179,***,2,0.00045787666972800056,3276
high_inst_m1,size_under100,Fewer than 100 students,size,-0.15816096130595236,0.038522833631715415,4.031936185204897e-05,***,628,0.03632973472266701,3276
high_inst_m1,size_250_499,250--499 students,size,0.07134835804966766,0.038596264157017765,0.06451819807222564,*,977,0.3677252528246756,3276
high_inst_m1,size_500_plus,500+ students,size,0.12341083830090166,0.05171350871274584,0.017012693992698242,**,466,0.3879896038175798,3276
high_paying_field_m1,intercept,"Intercept (omitted: Municipal, no tracks, 100--249 students)",base,-0.09872655003308164,0.04924653866670941,0.04499075408584031,**,84,0.012501621095145717,3276
high_paying_field_m1,admin_1,Corporaci\'on Municipal,admin,0.06699538220025864,0.08475165476153268,0.42924133883566695,,222,0.08837946065833664,3276
high_paying_field_m1,admin_3,Private subsidized,admin,0.03901373234143703,0.050051166211924715,0.43569878741725526,,1796,0.5283857068371839,3276
high_paying_field_m1,admin_4,Fully private,admin,0.3516609524909336,0.060232076710529735,5.269402202966957e-09,***,476,0.10174125468794247,3276
high_paying_field_m1,admin_5,Delegated administration,admin,0.5705612250947393,0.2877127529888787,0.047357011846756863,**,70,0.044460353967779254,3276
high_paying_field_m1,admin_6,SLEP,admin,0.21235654241210772,0.08408884217514778,0.011557221899509779,**,177,0.05328308158938783,3276
high_paying_field_m1,tp,Technical-professional,track,-0.010355776533491137,0.048376121322627065,0.8304940781101084,,931,0.4081480873723967,3276
high_paying_field_m1,artistic,Artistic,track,-1.4672944962011265,0.792947359458175,0.06425143247426209,*,2,0.00045787666972800056,3276
high_paying_field_m1,size_under100,Fewer than 100 students,size,-0.05287989421022436,0.03486628953116108,0.12935553667144298,,628,0.03632973472266701,3276
