outcome,psu_score_bin,students,benefit_assignments,share,sample,se,lower,upper
Beca Nuevo Milenio,400,4623,191,0.0413151633138655,Whole grade-8 universe,0.00292705389688952,0.035578137675962,0.0470521889517689
Beca Nuevo Milenio,405,4241,157,0.0370195708559302,Whole grade-8 universe,0.00289928083146108,0.0313369804262665,0.0427021612855939
Beca Nuevo Milenio,410,5765,214,0.0371205550737207,Whole grade-8 universe,0.00248996666486704,0.0322402204105813,0.0420008897368601
Beca Nuevo Milenio,415,5091,178,0.0349636613631899,Whole grade-8 universe,0.00257441606972016,0.0299178058665384,0.0400095168598415
Beca Nuevo Milenio,420,6572,226,0.034388314059647,Whole grade-8 universe,0.0022478013168787,0.0299826234785647,0.0387940046407292
Beca Nuevo Milenio,425,5853,244,0.0416880232359474,Whole grade-8 universe,0.00261258149861399,0.036567363498664,0.0468086829732308
Beca Nuevo Milenio,430,7910,244,0.0308470290771176,Whole grade-8 universe,0.00194408207239339,0.0270366282152265,0.0346574299390086
Beca Nuevo Milenio,435,7316,217,0.0296610169491525,Whole grade-8 universe,0.00198343471324703,0.0257734849111884,0.0335485489871167
Beca Nuevo Milenio,440,8797,249,0.0283051040127316,Whole grade-8 universe,0.00176819452842926,0.0248394427370103,0.031770765288453
Beca Nuevo Milenio,445,8602,226,0.0262729597767961,Whole grade-8 universe,0.00172454049429318,0.0228928604079815,0.0296530591456107
Beca Nuevo Milenio,450,10808,268,0.0247964470762398,Whole grade-8 universe,0.00149578680717661,0.0218647049341737,0.027728189218306
Beca Nuevo Milenio,455,9238,216,0.0233816843472613,Whole grade-8 universe,0.00157221288100097,0.0203001471004994,0.0264632215940232
Beca Nuevo Milenio,460,10360,241,0.0232625482625483,Whole grade-8 universe,0.00148094075909143,0.0203599043747291,0.0261651921503675
Beca Nuevo Milenio,465,10013,190,0.0189753320683112,Whole grade-8 universe,0.00136349185588601,0.0163028880307746,0.0216477761058478
Beca Nuevo Milenio,470,11826,255,0.0215626585489599,Whole grade-8 universe,0.00133566862668208,0.018944748040663,0.0241805690572568
Beca Nuevo Milenio,475,9580,177,0.0184759916492693,Whole grade-8 universe,0.00137585158225481,0.0157793225480499,0.0211726607504887
Beca Nuevo Milenio,480,13830,232,0.0167751265365148,Whole grade-8 universe,0.0010920643769875,0.0146346803576193,0.0189155727154103
Beca Nuevo Milenio,485,11525,190,0.0164859002169197,Whole grade-8 universe,0.00118611326148204,0.0141611182244149,0.0188106822094245
Beca Nuevo Milenio,490,13482,212,0.0157246699302774,Whole grade-8 universe,0.00107144999632947,0.0136246279374717,0.0178247119230832
Beca Nuevo Milenio,495,13114,187,0.0142595699252707,Whole grade-8 universe,0.00103530165599072,0.0122303786795289,0.0162887611710125
Beca Nuevo Milenio,500,15783,196,0.0124184248875372,Whole grade-8 universe,0.000881505382797243,0.0106906743372546,0.0141461754378198
Beca Nuevo Milenio,505,11229,116,0.0103303945142043,Whole grade-8 universe,0.000954185975433169,0.00846019000235528,0.0122005990260533
Beca Nuevo Milenio,510,14192,78,0.00549605411499436,Whole grade-8 universe,0.000620593116498831,0.00427969160665666,0.00671241662333207
Beca Nuevo Milenio,515,12781,8,0.000625929113527893,Whole grade-8 universe,0.000221230090661425,0.0001923181358315,0.00105954009122429
Beca Nuevo Milenio,520,14376,11,0.000765164162493044,Whole grade-8 universe,0.000230617394707977,0.000313154068865409,0.00121717425612068
Beca Nuevo Milenio,525,11253,4,0.000355460766017951,Whole grade-8 universe,0.00017769879211235,7.17113347774426e-06,0.000703750398558157
Beca Nuevo Milenio,530,15828,9,0.000568612585291888,Whole grade-8 universe,0.00018948363405626,0.000197224662541619,0.000940000508042157
Beca Nuevo Milenio,535,11918,7,0.000587346870280248,Whole grade-8 universe,0.000221931046321935,0.000152362019489255,0.00102233172107124
Beca Nuevo Milenio,540,16109,6,0.000372462598547396,Whole grade-8 universe,0.000152028898667899,7.44859571583133e-05,0.000670439239936478
Beca Nuevo Milenio,545,12952,5,0.00038604076590488,Whole grade-8 universe,0.000172609352157194,4.77264356767792e-05,0.00072435509613298
Beca Nuevo Milenio,550,16380,6,0.000366300366300366,Whole grade-8 universe,0.000149514107277033,7.32527160373808e-05,0.000659348016563352
Beca Nuevo Milenio,555,12032,6,0.000498670212765957,Whole grade-8 universe,0.00020353049558167,9.97504414258842e-05,0.000897589984106031
Beca Nuevo Milenio,560,14313,4,0.000279466219520715,Whole grade-8 universe,0.000139713583054035,5.62759673480606e-06,0.000553304842306625
Beca Nuevo Milenio,565,11211,3,0.000267594327000268,Whole grade-8 universe,0.000154474984263527,0,0.000570365296156781
Beca Nuevo Milenio,570,13420,6,0.000447093889716841,Whole grade-8 universe,0.000182484508615243,8.94242528309636e-05,0.000804763526602718
Beca Nuevo Milenio,575,11619,7,0.000602461485497891,Whole grade-8 universe,0.000227640434577689,0.00015628623372562,0.00104863673727016
Beca Nuevo Milenio,580,14484,8,0.000552333609500138,Whole grade-8 universe,0.000195225483234983,0.000169691662359571,0.000934975556640705
Beca Nuevo Milenio,585,11816,4,0.0003385240352065,Whole grade-8 universe,0.000169233365547589,6.82663873322509e-06,0.000670221431679774
Beca Nuevo Milenio,590,14322,2,0.000139645300935624,Whole grade-8 universe,9.87372444341791e-05,0,0.000333170300026615
Beca Nuevo Milenio,595,11826,2,0.000169118890580078,Whole grade-8 universe,0.000119575001877413,0,0.000403485894259807
Beca Nuevo Milenio,600,13064,1,7.65462339252909e-05,Whole grade-8 universe,7.6543304206261e-05,0,0.000226571110169562
Beca Nuevo Milenio,605,10154,0,0,Whole grade-8 universe,0,0,0
